id,multiplier,recorded_at
6197,1.33,2026-05-22 12:06:13.977964+00
6198,25.9,2026-05-22 12:07:12.067156+00
6199,3.35,2026-05-22 12:07:37.02817+00
6200,9.2,2026-05-22 12:08:18.621126+00
6201,1.02,2026-05-22 12:08:27.052718+00
6202,1.01,2026-05-22 12:08:43.807206+00
6203,3.7,2026-05-22 12:09:08.822208+00
6204,1.78,2026-05-22 12:09:33.869105+00
6205,1.22,2026-05-22 12:09:42.345082+00
6206,5.99,2026-05-22 12:10:23.842928+00
6207,2.18,2026-05-22 12:10:48.803504+00
6208,1.16,2026-05-22 12:10:57.031896+00
6209,1.14,2026-05-22 12:11:13.786918+00
6210,1.3,2026-05-22 12:11:30.35522+00
6211,9.61,2026-05-22 12:12:03.585201+00
6212,6.86,2026-05-22 12:12:44.804814+00
6213,3.05,2026-05-22 12:13:09.915818+00
6214,65.23,2026-05-22 12:14:15.712212+00
6215,2,2026-05-22 12:14:40.814156+00
6216,3,2026-05-22 12:15:05.687315+00
6217,2.02,2026-05-22 12:15:22.278031+00
6218,1.1,2026-05-22 12:15:38.940606+00
6219,4.69,2026-05-22 12:16:12.314925+00
6220,2.1,2026-05-22 12:16:37.393196+00
6221,1.41,2026-05-22 12:16:54.103738+00
6222,112.81,2026-05-22 12:18:00.641206+00
6223,3.36,2026-05-22 12:18:33.987047+00
6224,1.21,2026-05-22 12:18:50.753591+00
6225,1.05,2026-05-22 12:18:59.012935+00
6226,4.49,2026-05-22 12:19:32.101394+00
6227,33.54,2026-05-22 12:20:30.279328+00
6228,19.04,2026-05-22 12:21:19.695444+00
6229,4.51,2026-05-22 12:21:53.172408+00
6230,2.79,2026-05-22 12:22:18.322326+00
6231,1.05,2026-05-22 12:22:35.236674+00
6232,1.06,2026-05-22 12:22:43.52324+00
6233,1.01,2026-05-22 12:23:00.170691+00
6234,1.46,2026-05-22 12:23:16.872396+00
6235,2.22,2026-05-22 12:23:41.747816+00
6236,1.07,2026-05-22 12:23:58.400011+00
6237,2.4,2026-05-22 12:24:14.843215+00
6238,1.44,2026-05-22 12:25:13.211079+00
6239,6.06,2026-05-22 12:25:46.537582+00
6240,1.8,2026-05-22 12:26:11.629952+00
6241,1.01,2026-05-22 12:26:19.848693+00
6242,16.25,2026-05-22 12:27:09.199257+00
6243,1.1,2026-05-22 12:27:25.886082+00
6244,1.69,2026-05-22 12:27:42.616815+00
6245,3.64,2026-05-22 12:28:15.948742+00
6246,1.01,2026-05-22 12:29:05.922984+00
6247,1.13,2026-05-22 12:29:14.222626+00
6248,1.01,2026-05-22 12:29:30.794887+00
6249,15.9,2026-05-22 12:30:20.21877+00
6250,1.68,2026-05-22 12:30:36.978963+00
6251,9.62,2026-05-22 12:31:10.242204+00
6252,1.21,2026-05-22 12:31:26.89636+00
6253,9.16,2026-05-22 12:32:00.116082+00
6254,1.19,2026-05-22 12:32:16.837792+00
6255,9.93,2026-05-22 12:32:58.107439+00
6256,10.13,2026-05-22 12:33:39.881704+00
6257,2.37,2026-05-22 12:34:04.836691+00
6258,3.34,2026-05-22 12:34:29.743592+00
6259,15.13,2026-05-22 12:36:00.696182+00
6260,1.38,2026-05-22 12:36:17.389679+00
6261,6.36,2026-05-22 12:36:50.863004+00
6262,1.59,2026-05-22 12:37:07.502578+00
6263,1.01,2026-05-22 12:37:24.098448+00
6264,3.45,2026-05-22 12:37:49.232015+00
6265,1.72,2026-05-22 12:38:14.191489+00
6266,4.89,2026-05-22 12:38:47.450804+00
6267,4.98,2026-05-22 12:39:21.049242+00
6268,1.41,2026-05-22 12:39:37.793787+00
6269,2.29,2026-05-22 12:40:02.712589+00
6270,1.07,2026-05-22 12:40:11.05254+00
6271,10.87,2026-05-22 12:40:52.437906+00
6272,1.1,2026-05-22 12:41:09.170172+00
6273,8.29,2026-05-22 12:41:50.85206+00
6274,1.49,2026-05-22 12:42:07.454427+00
6275,1.37,2026-05-22 12:42:24.208143+00
6276,1.3,2026-05-22 12:42:40.970252+00
6277,1.54,2026-05-22 12:42:57.647054+00
6278,1.01,2026-05-22 12:43:14.353501+00
6279,2.83,2026-05-22 12:43:39.428341+00
6280,2.5,2026-05-22 12:44:04.561053+00
6281,1.62,2026-05-22 12:44:21.189256+00
6282,1.31,2026-05-22 12:44:38.027811+00
6283,1.12,2026-05-22 12:44:54.66298+00
6284,1.26,2026-05-22 12:45:11.464069+00
6285,1.36,2026-05-22 12:45:28.128257+00
6286,8.61,2026-05-22 12:46:09.687839+00
6287,3.88,2026-05-22 12:46:34.471058+00
6288,1.1,2026-05-22 12:46:51.013893+00
6289,6.13,2026-05-22 12:47:24.012847+00
6290,1.15,2026-05-22 12:47:40.765901+00
6291,3.82,2026-05-22 12:48:14.035021+00
6292,1.2,2026-05-22 12:48:22.321639+00
6293,1.33,2026-05-22 12:48:39.043646+00
6294,1.41,2026-05-22 12:49:03.990953+00
6295,1.98,2026-05-22 12:49:20.664934+00
6296,3.42,2026-05-22 12:49:53.793998+00
6297,7.59,2026-05-22 12:50:26.591017+00
6298,1.15,2026-05-22 12:50:43.389409+00
6299,2.14,2026-05-22 12:51:08.337268+00
6300,3.33,2026-05-22 12:51:33.205022+00
6301,3.18,2026-05-22 12:51:58.166425+00
6302,21.66,2026-05-22 12:52:56.062413+00
6303,4.98,2026-05-22 12:53:29.48675+00
6304,1.79,2026-05-22 12:53:46.113931+00
6305,1.74,2026-05-22 12:54:02.716089+00
6306,1.28,2026-05-22 12:54:19.518058+00
6307,1.15,2026-05-22 12:54:36.236678+00
6308,113.28,2026-05-22 12:55:50.495808+00
6309,2.8,2026-05-22 12:56:15.523469+00
6310,3.03,2026-05-22 12:56:40.494987+00
6311,1.11,2026-05-22 12:56:57.03781+00
6312,2.86,2026-05-22 12:57:22.436183+00
6313,1.2,2026-05-22 12:57:39.095914+00
6314,1.44,2026-05-22 12:57:55.792423+00
6315,1.14,2026-05-22 12:58:12.618061+00
6316,2.39,2026-05-22 12:58:37.547342+00
6317,24.1,2026-05-22 12:59:27.236706+00
6318,1.28,2026-05-22 12:59:44.494869+00
6319,1.93,2026-05-22 13:00:01.402931+00
6320,2.17,2026-05-22 13:00:26.358859+00
6321,1.92,2026-05-22 13:00:51.292955+00
6322,31.19,2026-05-22 13:01:48.96573+00
6323,1.02,2026-05-22 13:01:57.20698+00
6324,2.41,2026-05-22 13:02:38.930328+00
6325,1.25,2026-05-22 13:02:38.930328+00
6326,8.22,2026-05-22 13:03:20.280621+00
6327,1.49,2026-05-22 13:03:36.926438+00
6328,1.72,2026-05-22 13:03:53.519024+00
6329,12.9,2026-05-22 13:04:43.365019+00
6330,6.97,2026-05-22 13:05:16.693497+00
6331,3.54,2026-05-22 13:05:49.95829+00
6332,1.89,2026-05-22 13:06:06.355856+00
6333,2,2026-05-22 13:06:31.360661+00
6334,1.1,2026-05-22 13:06:47.944744+00
6335,1.1,2026-05-22 13:06:56.313849+00
6336,7.29,2026-05-22 13:07:38.193805+00
6337,2.39,2026-05-22 13:08:03.175646+00
6338,1.54,2026-05-22 13:08:20.009729+00
6339,1.66,2026-05-22 13:08:36.469275+00
6340,2.17,2026-05-22 13:09:01.449216+00
6341,1.07,2026-05-22 13:09:18.218235+00
6342,3,2026-05-22 13:09:43.179072+00
6343,1.09,2026-05-22 13:09:59.816724+00
6344,1.26,2026-05-22 13:10:07.998128+00
6345,1.74,2026-05-22 13:10:33.262084+00
6346,1.23,2026-05-22 13:10:49.985384+00
6347,1.63,2026-05-22 13:11:06.686723+00
6348,1.76,2026-05-22 13:11:23.159989+00
6349,1.16,2026-05-22 13:11:39.685+00
6350,1.42,2026-05-22 13:11:56.278146+00
6351,1.53,2026-05-22 13:12:21.259105+00
6352,4.39,2026-05-22 13:12:45.914317+00
6353,1.06,2026-05-22 13:13:02.649893+00
6354,2.8,2026-05-22 13:13:27.509661+00
6355,4.63,2026-05-22 13:14:00.737595+00
6356,6.97,2026-05-22 13:14:42.14478+00
6357,9.13,2026-05-22 13:15:15.410888+00
6358,2.87,2026-05-22 13:15:41.049064+00
6359,1.85,2026-05-22 13:15:57.624726+00
6360,1.15,2026-05-22 13:16:14.373644+00
6361,1.27,2026-05-22 13:16:31.072801+00
6362,1.41,2026-05-22 13:16:47.883359+00
6363,1.1,2026-05-22 13:17:04.475225+00
6364,95.6,2026-05-22 13:18:09.698495+00
6365,12.62,2026-05-22 13:18:59.41022+00
6366,1.66,2026-05-22 13:19:16.137459+00
6367,4.12,2026-05-22 13:19:49.384731+00
6368,2.69,2026-05-22 13:20:14.544671+00
6369,1.47,2026-05-22 13:20:31.231069+00
6370,1.62,2026-05-22 13:20:47.957169+00
6371,2.86,2026-05-22 13:21:12.806619+00
6372,4.63,2026-05-22 13:21:45.704388+00
6373,2.12,2026-05-22 13:22:10.720118+00
6374,1.24,2026-05-22 13:22:27.214043+00
6375,1.24,2026-05-22 13:22:43.849962+00
6376,3.88,2026-05-22 13:23:17.213078+00
6377,1.02,2026-05-22 13:23:25.451165+00
6378,6.97,2026-05-22 13:24:06.93237+00
6379,7.9,2026-05-22 13:24:48.122204+00
6380,23.75,2026-05-22 13:25:37.679452+00
6381,3.04,2026-05-22 13:26:02.565543+00
6382,1.44,2026-05-22 13:26:19.19767+00
6383,1.11,2026-05-22 13:26:35.939329+00
6384,21.06,2026-05-22 13:27:25.207976+00
6385,1.11,2026-05-22 13:27:41.873008+00
6386,155.3,2026-05-22 13:28:56.017988+00
6387,124.81,2026-05-22 13:30:10.388088+00
6388,2.76,2026-05-22 13:30:35.407383+00
6389,37.16,2026-05-22 13:31:33.989667+00
6390,10.1,2026-05-22 13:32:15.613531+00
6391,1.04,2026-05-22 13:32:32.343708+00
6392,1.1,2026-05-22 13:32:49.085636+00
6393,2.23,2026-05-22 13:33:05.663961+00
6394,1.62,2026-05-22 13:33:30.543884+00
6395,10.07,2026-05-22 13:34:12.0297+00
6396,1.07,2026-05-22 13:34:28.709656+00
6397,6.64,2026-05-22 13:35:01.810645+00
6398,4.67,2026-05-22 13:35:35.228653+00
6399,1.62,2026-05-22 13:35:51.828374+00
6400,6.34,2026-05-22 13:36:33.455267+00
6401,6.83,2026-05-22 13:37:06.9258+00
6402,1.5,2026-05-22 13:37:23.70071+00
6403,2.51,2026-05-22 13:37:48.73607+00
6404,1.17,2026-05-22 13:38:05.437267+00
6405,1.21,2026-05-22 13:38:22.037037+00
6406,4.34,2026-05-22 13:38:55.379981+00
6407,7.23,2026-05-22 13:39:28.870921+00
6408,1.01,2026-05-22 13:39:45.516248+00
6409,3.01,2026-05-22 13:40:10.548162+00
6410,7.12,2026-05-22 13:40:43.462554+00
6411,176.66,2026-05-22 13:42:06.441009+00
6412,93.3,2026-05-22 13:43:12.537034+00
6413,11.85,2026-05-22 13:44:02.508017+00
6414,1.69,2026-05-22 13:44:19.192603+00
6415,2.66,2026-05-22 13:44:44.112123+00
6416,1.45,2026-05-22 13:45:00.64195+00
6417,1.36,2026-05-22 13:45:17.102339+00
6418,1.29,2026-05-22 13:45:33.715194+00
6419,2.51,2026-05-22 13:45:58.512385+00
6420,196.96,2026-05-22 13:47:21.380074+00
6421,2.9,2026-05-22 13:47:46.326029+00
6422,4.9,2026-05-22 13:48:19.498514+00
6423,11.79,2026-05-22 13:49:00.680657+00
6424,1.2,2026-05-22 13:49:17.497748+00
6425,1.62,2026-05-22 13:49:34.328012+00
6426,2.48,2026-05-22 13:49:59.323066+00
6427,1.15,2026-05-22 13:50:15.930999+00
6428,1.28,2026-05-22 13:50:32.507924+00
6429,1.52,2026-05-22 13:50:49.190923+00
6430,6.45,2026-05-22 13:51:30.660804+00
6431,1.24,2026-05-22 13:51:47.418581+00
6432,4.01,2026-05-22 13:52:12.08717+00
6433,1.4,2026-05-22 13:52:28.673232+00
6434,3.03,2026-05-22 13:53:01.967412+00
6435,1.92,2026-05-22 13:53:18.556985+00
6436,3.3,2026-05-22 13:53:51.976071+00
6437,4.76,2026-05-22 13:54:16.980205+00
6438,2.25,2026-05-22 13:54:42.169089+00
6439,8.47,2026-05-22 13:55:23.601733+00
6440,1.05,2026-05-22 13:55:40.238421+00
6441,1.15,2026-05-22 13:55:48.547281+00
6442,2.54,2026-05-22 13:56:13.370763+00
6443,2.04,2026-05-22 13:56:38.534712+00
6444,1.15,2026-05-22 13:56:55.255872+00
6445,6.93,2026-05-22 13:57:28.257046+00
6446,2.37,2026-05-22 13:57:53.448109+00
6447,2.1,2026-05-22 13:58:18.464601+00
