id,multiplier,recorded_at
6153,4.3200,2026-05-22 11:49:38.674361+00
6154,2.2100,2026-05-22 11:50:03.590216+00
6155,1.4200,2026-05-22 11:50:20.311424+00
6156,32.1200,2026-05-22 11:51:17.98557+00
6157,2.7300,2026-05-22 11:51:42.836632+00
6158,1.2800,2026-05-22 11:51:59.728142+00
6159,1.0500,2026-05-22 11:52:16.350988+00
6160,1.5300,2026-05-22 11:52:33.156704+00
6161,1.0700,2026-05-22 11:52:49.732344+00
6162,2.0000,2026-05-22 11:53:06.255568+00
6163,247.0000,2026-05-22 11:53:30.992901+00
6164,2.3800,2026-05-22 11:53:56.127732+00
6165,2.8100,2026-05-22 11:54:21.007686+00
6166,1.0700,2026-05-22 11:54:37.824231+00
6167,1.0100,2026-05-22 11:54:46.139458+00
6168,1.3400,2026-05-22 11:55:02.80728+00
6169,1.0200,2026-05-22 11:55:19.52502+00
6170,1.1000,2026-05-22 11:55:36.213989+00
6171,62.2700,2026-05-22 11:56:48.034398+00
6172,1.1300,2026-05-22 11:56:56.483599+00
6173,1.8500,2026-05-22 11:57:13.126913+00
6174,1.5800,2026-05-22 11:57:30.037864+00
6175,1.9300,2026-05-22 11:57:54.984079+00
6176,1.3500,2026-05-22 11:58:11.668693+00
6177,1.0600,2026-05-22 11:58:28.208135+00
6178,11.6900,2026-05-22 11:59:09.736024+00
6179,1.4000,2026-05-22 11:59:26.356469+00
6180,4.2700,2026-05-22 11:59:59.680724+00
6181,1.3900,2026-05-22 12:00:16.387975+00
6182,5.0000,2026-05-22 12:00:49.364061+00
6183,1.0300,2026-05-22 12:00:57.711512+00
6184,4.3100,2026-05-22 12:01:30.978416+00
6185,1.3100,2026-05-22 12:01:47.585061+00
6186,1.8900,2026-05-22 12:02:12.535506+00
6187,1.0200,2026-05-22 12:02:20.867306+00
6188,1.9100,2026-05-22 12:02:45.743728+00
6189,1.1600,2026-05-22 12:03:02.537199+00
6190,1.3600,2026-05-22 12:03:19.108587+00
6191,2.1200,2026-05-22 12:03:44.081614+00
6192,3.0200,2026-05-22 12:04:09.044393+00
6193,6.8500,2026-05-22 12:04:42.099047+00
6194,1.2400,2026-05-22 12:04:58.789538+00
6195,3.9800,2026-05-22 12:05:32.410989+00
6196,3.4400,2026-05-22 12:05:57.406057+00
6197,1.3300,2026-05-22 12:06:13.977964+00
6198,25.9000,2026-05-22 12:07:12.067156+00
6199,3.3500,2026-05-22 12:07:37.02817+00
6200,9.2000,2026-05-22 12:08:18.621126+00
6201,1.0200,2026-05-22 12:08:27.052718+00
6202,1.0100,2026-05-22 12:08:43.807206+00
6203,3.7000,2026-05-22 12:09:08.822208+00
6204,1.7800,2026-05-22 12:09:33.869105+00
6205,1.2200,2026-05-22 12:09:42.345082+00
6206,5.9900,2026-05-22 12:10:23.842928+00
6207,2.1800,2026-05-22 12:10:48.803504+00
6208,1.1600,2026-05-22 12:10:57.031896+00
6209,1.1400,2026-05-22 12:11:13.786918+00
6210,1.3000,2026-05-22 12:11:30.35522+00
6211,9.6100,2026-05-22 12:12:03.585201+00
6212,6.8600,2026-05-22 12:12:44.804814+00
6213,3.0500,2026-05-22 12:13:09.915818+00
6214,65.2300,2026-05-22 12:14:15.712212+00
6215,2.0000,2026-05-22 12:14:40.814156+00
6216,3.0000,2026-05-22 12:15:05.687315+00
6217,2.0200,2026-05-22 12:15:22.278031+00
6218,1.1000,2026-05-22 12:15:38.940606+00
6219,4.6900,2026-05-22 12:16:12.314925+00
6220,2.1000,2026-05-22 12:16:37.393196+00
6221,1.4100,2026-05-22 12:16:54.103738+00
6222,112.8100,2026-05-22 12:18:00.641206+00
6223,3.3600,2026-05-22 12:18:33.987047+00
6224,1.2100,2026-05-22 12:18:50.753591+00
6225,1.0500,2026-05-22 12:18:59.012935+00
6226,4.4900,2026-05-22 12:19:32.101394+00
6227,33.5400,2026-05-22 12:20:30.279328+00
6228,19.0400,2026-05-22 12:21:19.695444+00
6229,4.5100,2026-05-22 12:21:53.172408+00
6230,2.7900,2026-05-22 12:22:18.322326+00
6231,1.0500,2026-05-22 12:22:35.236674+00
6232,1.0600,2026-05-22 12:22:43.52324+00
6233,1.0100,2026-05-22 12:23:00.170691+00
6234,1.4600,2026-05-22 12:23:16.872396+00
6235,2.2200,2026-05-22 12:23:41.747816+00
6236,1.0700,2026-05-22 12:23:58.400011+00
6237,2.4000,2026-05-22 12:24:14.843215+00
6238,1.4400,2026-05-22 12:25:13.211079+00
6239,6.0600,2026-05-22 12:25:46.537582+00
6240,1.8000,2026-05-22 12:26:11.629952+00
6241,1.0100,2026-05-22 12:26:19.848693+00
6242,16.2500,2026-05-22 12:27:09.199257+00
6243,1.1000,2026-05-22 12:27:25.886082+00
6244,1.6900,2026-05-22 12:27:42.616815+00
6245,3.6400,2026-05-22 12:28:15.948742+00
6246,1.0100,2026-05-22 12:29:05.922984+00
6247,1.1300,2026-05-22 12:29:14.222626+00
6248,1.0100,2026-05-22 12:29:30.794887+00
6249,15.9000,2026-05-22 12:30:20.21877+00
6250,1.6800,2026-05-22 12:30:36.978963+00
6251,9.6200,2026-05-22 12:31:10.242204+00
6252,1.2100,2026-05-22 12:31:26.89636+00
6253,9.1600,2026-05-22 12:32:00.116082+00
6254,1.1900,2026-05-22 12:32:16.837792+00
6255,9.9300,2026-05-22 12:32:58.107439+00
6256,10.1300,2026-05-22 12:33:39.881704+00
6257,2.3700,2026-05-22 12:34:04.836691+00
6258,3.3400,2026-05-22 12:34:29.743592+00
6259,15.1300,2026-05-22 12:36:00.696182+00
6260,1.3800,2026-05-22 12:36:17.389679+00
6261,6.3600,2026-05-22 12:36:50.863004+00
6262,1.5900,2026-05-22 12:37:07.502578+00
6263,1.0100,2026-05-22 12:37:24.098448+00
6264,3.4500,2026-05-22 12:37:49.232015+00
6265,1.7200,2026-05-22 12:38:14.191489+00
6266,4.8900,2026-05-22 12:38:47.450804+00
6267,4.9800,2026-05-22 12:39:21.049242+00
6268,1.4100,2026-05-22 12:39:37.793787+00
6269,2.2900,2026-05-22 12:40:02.712589+00
6270,1.0700,2026-05-22 12:40:11.05254+00
6271,10.8700,2026-05-22 12:40:52.437906+00
6272,1.1000,2026-05-22 12:41:09.170172+00
6273,8.2900,2026-05-22 12:41:50.85206+00
6274,1.4900,2026-05-22 12:42:07.454427+00
6275,1.3700,2026-05-22 12:42:24.208143+00
6276,1.3000,2026-05-22 12:42:40.970252+00
6277,1.5400,2026-05-22 12:42:57.647054+00
6278,1.0100,2026-05-22 12:43:14.353501+00
6279,2.8300,2026-05-22 12:43:39.428341+00
6280,2.5000,2026-05-22 12:44:04.561053+00
6281,1.6200,2026-05-22 12:44:21.189256+00
6282,1.3100,2026-05-22 12:44:38.027811+00
6283,1.1200,2026-05-22 12:44:54.66298+00
6284,1.2600,2026-05-22 12:45:11.464069+00
6285,1.3600,2026-05-22 12:45:28.128257+00
6286,8.6100,2026-05-22 12:46:09.687839+00
6287,3.8800,2026-05-22 12:46:34.471058+00
6288,1.1000,2026-05-22 12:46:51.013893+00
6289,6.1300,2026-05-22 12:47:24.012847+00
6290,1.1500,2026-05-22 12:47:40.765901+00
6291,3.8200,2026-05-22 12:48:14.035021+00
6292,1.2000,2026-05-22 12:48:22.321639+00
6293,1.3300,2026-05-22 12:48:39.043646+00
6294,1.4100,2026-05-22 12:49:03.990953+00
6295,1.9800,2026-05-22 12:49:20.664934+00
6296,3.4200,2026-05-22 12:49:53.793998+00
6297,7.5900,2026-05-22 12:50:26.591017+00
