139,6.9100,2026-05-15 09:07:28.621291+00
140,2.1300,2026-05-15 09:08:10.956614+00
141,1.4000,2026-05-15 09:08:23.063723+00
142,7.1900,2026-05-15 09:09:04.936224+00
143,78.0700,2026-05-15 09:10:09.841325+00
144,1.1400,2026-05-15 09:10:28.008354+00
145,3.2000,2026-05-15 09:10:51.799371+00
146,1.0600,2026-05-15 09:11:10.055934+00
147,8.9400,2026-05-15 09:11:45.632843+00
148,1.9200,2026-05-15 09:12:03.870884+00
149,3.9300,2026-05-15 09:12:33.710172+00
150,1.1600,2026-05-15 09:12:51.626792+00
151,7.0800,2026-05-15 09:13:27.360699+00
152,1.0800,2026-05-15 09:13:39.537487+00
153,4.3100,2026-05-15 09:14:15.44726+00
154,1.4100,2026-05-15 09:14:33.523403+00
155,2.0500,2026-05-15 09:14:51.734926+00
156,1.9300,2026-05-15 09:15:09.82536+00
157,1.3200,2026-05-15 09:15:27.86012+00
158,4.3800,2026-05-15 09:15:57.620706+00
159,3.0600,2026-05-15 09:16:27.46457+00
160,1.4800,2026-05-15 09:16:45.561869+00
161,1.2400,2026-05-15 09:17:03.66237+00
162,3.8900,2026-05-15 09:17:33.894521+00
163,1.0200,2026-05-15 09:17:46.071428+00
164,1.1800,2026-05-15 09:17:58.266049+00
165,1.0900,2026-05-15 09:18:52.402724+00
166,2.1800,2026-05-15 09:19:22.452868+00
167,1.8700,2026-05-15 09:19:40.672476+00
168,1.2100,2026-05-15 09:19:58.819504+00
169,1.2900,2026-05-15 09:20:11.151787+00
170,2.1700,2026-05-15 09:20:35.186126+00
171,2.1000,2026-05-15 09:20:59.210123+00
172,3.6800,2026-05-15 09:21:29.158948+00
173,2.6700,2026-05-15 09:21:53.269136+00
174,2.1700,2026-05-15 09:22:17.297711+00
175,2.1000,2026-05-15 09:22:41.325394+00
176,33.9700,2026-05-15 09:23:34.798143+00
177,1.4100,2026-05-15 09:23:52.85136+00
178,2.1800,2026-05-15 09:24:16.829231+00
179,2.4400,2026-05-15 09:24:58.879262+00
180,8.1100,2026-05-15 09:25:34.713774+00
181,1.3100,2026-05-15 09:25:52.834481+00
182,1.6700,2026-05-15 09:26:11.278727+00
183,1.0800,2026-05-15 09:26:23.31707+00
184,1.8600,2026-05-15 09:26:47.543392+00
185,1.1600,2026-05-15 09:26:59.786451+00
186,2.6600,2026-05-15 09:27:23.696334+00
187,20.4200,2026-05-15 09:28:17.297169+00
188,1.3400,2026-05-15 09:28:35.510092+00
189,1.3200,2026-05-15 09:28:53.727334+00
190,27.9000,2026-05-15 09:29:47.248532+00
191,1.0800,2026-05-15 09:29:59.378339+00
192,1.0100,2026-05-15 09:30:11.443275+00
193,1.4300,2026-05-15 09:30:53.450166+00
194,2.2600,2026-05-15 09:31:17.483436+00
195,1.1600,2026-05-15 09:31:35.571808+00
196,1.0400,2026-05-15 09:31:47.729336+00
197,10.6600,2026-05-15 09:32:29.343365+00
198,14.4400,2026-05-15 09:33:16.857633+00
199,2.4400,2026-05-15 09:33:40.774996+00
200,1.0100,2026-05-15 09:33:52.960314+00
201,8.4300,2026-05-15 09:34:34.757452+00
202,6.0100,2026-05-15 09:35:10.615298+00
203,4.6100,2026-05-15 09:35:40.499148+00
204,9.7400,2026-05-15 09:36:22.000411+00
205,2.8000,2026-05-15 09:36:51.934018+00
206,1.1400,2026-05-15 09:37:04.026831+00
207,1.2700,2026-05-15 09:37:22.022971+00
